scenario,model,features,fold,acc_any,top2_any,group_acc,avg_cost_any,macro_f1,balanced_acc
B42_no_leak,flat_hgb,41.0,5.0,0.8491794738213077,0.9385256577233655,0.950768429278458,0.2492836676217765,0.4568074328295067,0.4694283457876109
B42_no_leak,flat_xgb,41.0,1.0,0.8598958333333333,0.93828125,0.9518229166666666,0.23645833333333333,0.488791281972475,0.503952073114299
B42_no_leak,flat_xgb,41.0,2.0,0.8682291666666667,0.9385416666666667,0.9541666666666667,0.2234375,0.486546151163813,0.49786886501737965
B42_no_leak,flat_xgb,41.0,3.0,0.8721021099244595,0.9424329252409481,0.9528523052878354,0.22219327949986975,0.4892800594726951,0.5038746702442475
B42_no_leak,flat_xgb,41.0,4.0,0.8648085438916384,0.9406095337327429,0.9515498827819745,0.23209169054441262,0.4915777516485507,0.5043930746968348
B42_no_leak,flat_xgb,41.0,5.0,0.8609012763740558,0.9374837197186767,0.952331336285491,0.23443605105496224,0.48276313860962633,0.49413382405983836
B42_no_leak,hier_xgb,41.0,1.0,0.8481770833333333,0.9263020833333333,0.9268229166666667,0.2981770833333333,0.48237662255559993,0.4950197276580044
B42_no_leak,hier_xgb,41.0,2.0,0.8611979166666667,0.9408854166666667,0.9486979166666667,0.24140625,0.4827244932833284,0.49497519889815667
B42_no_leak,hier_xgb,41.0,3.0,0.8642875748892941,0.9416514717374316,0.94503777025267,0.24563688460536598,0.4939196686142343,0.5058223657311015
B42_no_leak,hier_xgb,41.0,4.0,0.8674133889033603,0.9432143787444647,0.9499869757749414,0.23261265954675697,0.49641233978367527,0.5069502029085353
B42_no_leak,hier_xgb,41.0,5.0,0.8635061213857775,0.9364417817139881,0.9510289137796301,0.23443605105496224,0.4940839289686651,0.5022603272252294
B42_no_leak,hier_hgb,41.0,1.0,0.83046875,0.9182291666666667,0.9174479166666667,0.3346354166666667,0.465443155801007,0.4814008470476522
B42_no_leak,hier_hgb,41.0,2.0,0.85625,0.94296875,0.94609375,0.2515625,0.4754477505695601,0.4871121187566427
B42_no_leak,hier_hgb,41.0,3.0,0.8517843188330294,0.9387861422245376,0.9377442042198489,0.2727272727272727,0.4748824148306125,0.48988862133190897
B42_no_leak,hier_hgb,41.0,4.0,0.8575149778588174,0.9413909872362595,0.9481635842667361,0.24615785360771034,0.4822918945814928,0.4929921775787551
B42_no_leak,hier_hgb,41.0,5.0,0.8575149778588174,0.9353998437092993,0.9497264912737692,0.24303203959364417,0.4794581430045229,0.48852927824423975
B42_no_leak,ens_lr_hgb,41.0,1.0,0.8783854166666667,0.94765625,0.9575520833333333,0.20651041666666667,0.5173179136118657,0.5304288113294056
B42_no_leak,ens_lr_hgb,41.0,2.0,0.88515625,0.9505208333333334,0.96015625,0.19453125,0.5128665135150717,0.5230533866002625
B42_no_leak,ens_lr_hgb,41.0,3.0,0.8799166449596248,0.9484240687679083,0.9546756967960406,0.21073196144829381,0.501105525868872,0.5173420167967613
B42_no_leak,ens_lr_hgb,41.0,4.0,0.8783537379525919,0.9458192237561865,0.9528523052878354,0.21594165147173744,0.5098230314149147,0.5244510799533006
B42_no_leak,ens_lr_hgb,41.0,5.0,0.8796561604584527,0.9466006772597031,0.9567595728054181,0.20682469393071112,0.5160729966396036,0.523676184395543
B42_no_leak,ens_lr_xgb_hgb,41.0,1.0,0.8763020833333334,0.9450520833333333,0.95703125,0.20963541666666666,0.5078169450051787,0.5234998835164948
B42_no_leak,ens_lr_xgb_hgb,41.0,2.0,0.8877604166666667,0.9510416666666667,0.9619791666666667,0.18828125,0.5102162170627695,0.5220323189841192
B42_no_leak,ens_lr_xgb_hgb,41.0,3.0,0.8799166449596248,0.9468611617608752,0.955196665798385,0.2096900234436051,0.496566944436657,0.5151973838619381
B42_no_leak,ens_lr_xgb_hgb,41.0,4.0,0.8796561604584527,0.94503777025267,0.9533732742901797,0.21359729096118782,0.5050885925382542,0.5211840344382864
B42_no_leak,ens_lr_xgb_hgb,41.0,5.0,0.8773117999479031,0.9455587392550143,0.9557176348007294,0.2112529304506382,0.5047838966295652,0.5156704340467786
B42_with_leak,flat_lr,43.0,1.0,0.8963541666666667,0.96171875,0.9611979166666667,0.18125,0.59861013513622,0.5899754311096098
B42_with_leak,flat_lr,43.0,2.0,0.9,0.9604166666666667,0.965625,0.16875,0.6048021767217988,0.5909372170921249
B42_with_leak,flat_lr,43.0,3.0,0.8976295910393332,0.9627507163323782,0.9622297473300339,0.1779109143005991,0.6107238825656793,0.5980468059676912
B42_with_leak,flat_lr,43.0,4.0,0.8999739515498828,0.9564990883042459,0.9640531388382392,0.17191977077363896,0.5996466488145245,0.58859259245759
B42_with_leak,flat_lr,43.0,5.0,0.8955457150299557,0.955196665798385,0.9632716853347226,0.1779109143005991,0.5992684292751775,0.5870530486637519
B42_with_leak,flat_rf,43.0,1.0,0.8622395833333333,0.94296875,0.95078125,0.23619791666666667,0.4981817316815087,0.506470342042572
B42_with_leak,flat_rf,43.0,2.0,0.8640625,0.9447916666666667,0.9528645833333333,0.23020833333333332,0.4856153174162302,0.4948817643953144
B42_with_leak,flat_rf,43.0,3.0,0.8697577494139098,0.94503777025267,0.9515498827819745,0.22714248502214118,0.5068087842218183,0.5127483921880257
B42_with_leak,flat_rf,43.0,4.0,0.8663714508986715,0.9390466267257098,0.950768429278458,0.23209169054441262,0.4952337477488415,0.5025918570526821
B42_with_leak,flat_rf,43.0,5.0,0.8619432143787444,0.9452982547538421,0.9544152122948685,0.22922636103151864,0.49692416190988425,0.5034317463623714
B42_with_leak,flat_hgb,43.0,1.0,0.8666666666666667,0.94609375,0.9541666666666667,0.225,0.5066290911719226,0.5096499334435437
B42_with_leak,flat_hgb,43.0,2.0,0.8763020833333334,0.9455729166666667,0.9604166666666667,0.20286458333333332,0.49537092017084844,0.5006651060262791
B42_with_leak,flat_hgb,43.0,3.0,0.8791351914561084,0.9486845532690805,0.9564990883042459,0.20786663193539984,0.5156581077180359,0.5165015418554864
B42_with_leak,flat_hgb,43.0,4.0,0.8666319353998437,0.9447772857514978,0.9549361812972128,0.22349570200573066,0.5016729640843647,0.5055291471507165
B42_with_leak,flat_hgb,43.0,5.0,0.8747069549361813,0.9455587392550143,0.9572805418077625,0.21073196144829381,0.5099763934511529,0.5115293160123212
B42_with_leak,flat_xgb,43.0,1.0,0.8833333333333333,0.9502604166666667,0.959375,0.19791666666666666,0.5551507630515065,0.5493711473818029
B42_with_leak,flat_xgb,43.0,2.0,0.8869791666666667,0.9515625,0.9653645833333333,0.18229166666666666,0.5508993744356493,0.5404811951243367
B42_with_leak,flat_xgb,43.0,3.0,0.8921594165147174,0.9536337587913519,0.9596249023183121,0.1885907788486585,0.5536672781772526,0.5502200967383132
B42_with_leak,flat_xgb,43.0,4.0,0.8801771294607971,0.9468611617608752,0.9567595728054181,0.20630372492836677,0.5503646509894261,0.5439584206148554
B42_with_leak,flat_xgb,43.0,5.0,0.8827819744725189,0.9455587392550143,0.9591039333159677,0.1990101588955457,0.5465653855504518,0.5386147743254858
B42_with_leak,hier_xgb,43.0,1.0,0.8731770833333333,0.94375,0.94375,0.23932291666666666,0.5483708916409148,0.5455267345689224
B42_with_leak,hier_xgb,43.0,2.0,0.87890625,0.9513020833333333,0.95546875,0.21015625,0.53842184442195,0.5341237056961828
B42_with_leak,hier_xgb,43.0,3.0,0.8820005209690024,0.9510289137796301,0.9531127897890076,0.21177389945298256,0.5517059666088606,0.5490996416662455
B42_with_leak,hier_xgb,43.0,4.0,0.8825214899713467,0.9497264912737692,0.958061995311279,0.20135451940609533,0.5414027294054815,0.5397232987704123
B42_with_leak,hier_xgb,43.0,5.0,0.8820005209690024,0.9455587392550143,0.9593644178171399,0.1992706433967179,0.5540297827549142,0.5446663250795905
B42_with_leak,hier_hgb,43.0,1.0,0.8625,0.9395833333333333,0.9411458333333333,0.2552083333333333,0.5280829634969735,0.5289013282973568
B42_with_leak,hier_hgb,43.0,2.0,0.8770833333333333,0.94765625,0.9544270833333334,0.2140625,0.5111398690337429,0.5143368963756081
