club_name,avg_overall,n_players
RZ Pellets Wolfsberger AC,64.96153846153847,26
Club Atlético Sarmiento,64.92857142857143,28
Nashville SC,64.89285714285714,28
Amiens SC,64.86666666666666,30
FC Erzgebirge Aue,64.86666666666666,30
Kashiwa Reysol,64.86666666666666,30
IFK Göteborg,64.86363636363636,22
Raków Częstochowa,64.85714285714286,28
Heracles Almelo,64.83333333333333,30
Swansea City,64.83333333333333,30
AIK,64.83333333333333,24
Aberdeen,64.82142857142857,28
FC Dallas,64.81481481481481,27
Club Deportivo Palestino,64.8076923076923,26
San Jose Earthquakes,64.8076923076923,26
Nagoya Grampus,64.8,30
Charlton Athletic,64.78571428571429,28
AJ Auxerre,64.77777777777777,27
Kashima Antlers,64.76666666666667,30
SG Dynamo Dresden,64.76666666666667,30
Austin FC,64.75862068965517,29
Unión La Calera,64.75,24
Stade Malherbe Caen,64.73333333333333,30
Sanfrecce Hiroshima,64.72413793103448,29
Karlsruher SC,64.71428571428571,28
Fortuna Sittard,64.6923076923077,26
Club Universitario de Deportes,64.6896551724138,29
Luton Town,64.66666666666667,30
Colorado Rapids,64.63333333333334,30
Vancouver Whitecaps FC,64.62068965517241,29
Suwon Samsung Bluewings,64.53571428571429,28
Gallos Blancos de Querétaro,64.5,28
La Equidad,64.5,20
Shandong Taishan,64.46428571428571,28
Guaireña FC,64.45833333333333,24
12 de Octubre FC,64.45,20
FK Bodø/Glimt,64.44444444444444,27
Blackpool,64.43333333333334,30
Hibernian,64.42857142857143,28
Club The Strongest,64.4,25
Club Deportivo Jorge Wilstermann,64.36666666666666,30
En Avant de Guingamp,64.34482758620689,29
Club Atlético de San Luis,64.33333333333333,30
LA Galaxy,64.33333333333333,30
Puebla FC,64.33333333333333,27
Al Ittihad,64.32142857142857,28
RKC Waalwijk,64.32142857142857,28
Independiente del Valle,64.32,25
Al Ain FC,64.28571428571429,28
Sporting Kansas City,64.27586206896552,29
Cardiff City,64.26666666666667,30
Barnsley,64.2,30
Real Salt Lake,64.2,30
Grenoble Foot 38,64.17857142857143,28
Heart of Midlothian,64.12,25
Hokkaido Consadole Sapporo,64.12,25
Grasshopper Club Zürich,64.07692307692308,26
FC Groningen,64.07142857142857,28
Crotone,64.04166666666667,24
FC Zürich,64.03571428571429,28
FC Cincinnati,64.0,30
Wisła Kraków,63.964285714285715,28
FK Austria Wien,63.96296296296296,27
Universidad Técnica de Cajamarca,63.96153846153846,26
Club Bolívar,63.92857142857143,28
